,band_name,baseline_x,baseline_y,baseline_z,pad
299,alma/f324,30.35174917,-773.9188068,-3.336231664,A049
300,alma/f324,-15.04639784,-764.3348031,-2.335016467,A050
301,alma/f447,-33.89412596,-712.7516484,-2.330089496,A001
302,alma/f447,-17.45390887,-709.6086972,-2.32867142,A002
303,alma/f447,-22.5589292,-691.9838607,-2.323742384,A003
304,alma/f447,-5.421013146,-723.7911045,-2.334250518,A004
305,alma/f447,25.24593899,-744.4318445,-2.336684256,A005
306,alma/f447,20.94634824,-721.464646,-2.333017829,A006
307,alma/f447,15.93453511,-700.6757482,-2.32967552,A007
308,alma/f447,9.482335836,-687.0764746,-2.729176727,A008
309,alma/f447,-9.835100334,-663.8265957,-2.722704263,A009
310,alma/f447,-20.89371519,-653.559982,-2.43766594,A010
311,alma/f447,37.82617818,-735.8760818,-2.484749162,A011
312,alma/f447,0.965953711,-702.6549839,-2.325874408,A013
313,alma/f447,10.73987943,-659.5673638,-2.726261907,A015
314,alma/f447,-20.62042134,-633.9073418,-2.527672839,A016
315,alma/f447,-6.712372688,-684.9519378,-2.3269437,A017
316,alma/f447,-41.23929872,-725.9777278,-2.33663097,A018
317,alma/f447,-50.30411069,-711.209498,-2.332024766,A019
318,alma/f447,-43.64407228,-652.7424613,-2.322696805,A022
319,alma/f447,-59.4042934,-667.5717395,-2.130365568,A023
320,alma/f447,-74.47461587,-684.6574595,-2.129342649,A024
321,alma/f447,-84.5230042,-704.8937799,-1.937681767,A025
322,alma/f447,-86.87286754,-732.2620426,-1.928810218,A026
323,alma/f447,-93.14292454,-745.9594809,-1.941492838,A027
324,alma/f447,-57.04992893,-645.4388456,-2.129055948,A028
325,alma/f447,-68.48107366,-698.470785,-2.334779889,A030
326,alma/f447,-95.8997254,-694.8901111,-1.927739915,A031
327,alma/f447,-105.4387377,-755.003357,-1.640752815,A033
328,alma/f447,-76.90232093,-718.1727584,-1.929073338,A034
329,alma/f447,-26.04186157,-726.1888088,-2.332575051,A035
330,alma/f447,-15.39951252,-746.3592279,-2.331879161,A036
331,alma/f447,-80.49715673,-765.1118313,-1.942599619,A038
332,alma/f447,-64.18907113,-771.1494896,-1.940145207,A039
333,alma/f447,-42.33954858,-777.8607093,-2.339781511,A040
334,alma/f447,-23.09339256,-778.6079363,-2.340774491,A041
335,alma/f447,2.382622676,-763.2855572,-2.838872989,A042
336,alma/f447,17.1053716,-766.5338029,-2.842286715,A043
337,alma/f447,-80.06703001,-780.3740238,-1.336451415,A044
338,alma/f447,-63.50521219,-786.8199568,-1.341060659,A045
339,alma/f447,-36.66707354,-762.1662821,-2.339843364,A046
340,alma/f447,-19.65399721,-794.5952314,-2.338743316,A047
341,alma/f447,-1.523355241,-788.9452581,-2.8370088,A048
342,alma/f447,30.35174917,-773.9188068,-3.336231664,A049
343,alma/f447,-15.04639784,-764.3348031,-2.335016467,A050
344,alma/f661,-33.89412596,-712.7516484,-2.330089496,A001
345,alma/f661,-17.45390887,-709.6086972,-2.32867142,A002
346,alma/f661,-22.5589292,-691.9838607,-2.323742384,A003
347,alma/f661,-5.421013146,-723.7911045,-2.334250518,A004
348,alma/f661,25.24593899,-744.4318445,-2.336684256,A005
349,alma/f661,20.94634824,-721.464646,-2.333017829,A006
350,alma/f661,15.93453511,-700.6757482,-2.32967552,A007
351,alma/f661,9.482335836,-687.0764746,-2.729176727,A008
352,alma/f661,-9.835100334,-663.8265957,-2.722704263,A009
353,alma/f661,-20.89371519,-653.559982,-2.43766594,A010
354,alma/f661,37.82617818,-735.8760818,-2.484749162,A011
355,alma/f661,0.965953711,-702.6549839,-2.325874408,A013
356,alma/f661,10.73987943,-659.5673638,-2.726261907,A015
357,alma/f661,-20.62042134,-633.9073418,-2.527672839,A016
358,alma/f661,-6.712372688,-684.9519378,-2.3269437,A017
359,alma/f661,-41.23929872,-725.9777278,-2.33663097,A018
360,alma/f661,-50.30411069,-711.209498,-2.332024766,A019
361,alma/f661,-43.64407228,-652.7424613,-2.322696805,A022
362,alma/f661,-59.4042934,-667.5717395,-2.130365568,A023
363,alma/f661,-74.47461587,-684.6574595,-2.129342649,A024
364,alma/f661,-84.5230042,-704.8937799,-1.937681767,A025
365,alma/f661,-86.87286754,-732.2620426,-1.928810218,A026
366,alma/f661,-93.14292454,-745.9594809,-1.941492838,A027
367,alma/f661,-57.04992893,-645.4388456,-2.129055948,A028
368,alma/f661,-68.48107366,-698.470785,-2.334779889,A030
369,alma/f661,-95.8997254,-694.8901111,-1.927739915,A031
370,alma/f661,-105.4387377,-755.003357,-1.640752815,A033
371,alma/f661,-76.90232093,-718.1727584,-1.929073338,A034
372,alma/f661,-26.04186157,-726.1888088,-2.332575051,A035
373,alma/f661,-15.39951252,-746.3592279,-2.331879161,A036
374,alma/f661,-80.49715673,-765.1118313,-1.942599619,A038
375,alma/f661,-64.18907113,-771.1494896,-1.940145207,A039
376,alma/f661,-42.33954858,-777.8607093,-2.339781511,A040
377,alma/f661,-23.09339256,-778.6079363,-2.340774491,A041
378,alma/f661,2.382622676,-763.2855572,-2.838872989,A042
379,alma/f661,17.1053716,-766.5338029,-2.842286715,A043
380,alma/f661,-80.06703001,-780.3740238,-1.336451415,A044
381,alma/f661,-63.50521219,-786.8199568,-1.341060659,A045
382,alma/f661,-36.66707354,-762.1662821,-2.339843364,A046
383,alma/f661,-19.65399721,-794.5952314,-2.338743316,A047
384,alma/f661,-1.523355241,-788.9452581,-2.8370088,A048
385,alma/f661,30.35174917,-773.9188068,-3.336231664,A049
386,alma/f661,-15.04639784,-764.3348031,-2.335016467,A050
387,alma/f869,-33.89412596,-712.7516484,-2.330089496,A001
388,alma/f869,-17.45390887,-709.6086972,-2.32867142,A002
389,alma/f869,-22.5589292,-691.9838607,-2.323742384,A003
390,alma/f869,-5.421013146,-723.7911045,-2.334250518,A004
391,alma/f869,25.24593899,-744.4318445,-2.336684256,A005
392,alma/f869,20.94634824,-721.464646,-2.333017829,A006
393,alma/f869,15.93453511,-700.6757482,-2.32967552,A007
394,alma/f869,9.482335836,-687.0764746,-2.729176727,A008
395,alma/f869,-9.835100334,-663.8265957,-2.722704263,A009
396,alma/f869,-20.89371519,-653.559982,-2.43766594,A010
397,alma/f869,37.82617818,-735.8760818,-2.484749162,A011
398,alma/f869,0.965953711,-702.6549839,-2.325874408,A013
399,alma/f869,10.73987943,-659.5673638,-2.726261907,A015
400,alma/f869,-20.62042134,-633.9073418,-2.527672839,A016
401,alma/f869,-6.712372688,-684.9519378,-2.3269437,A017
402,alma/f869,-41.23929872,-725.9777278,-2.33663097,A018
403,alma/f869,-50.30411069,-711.209498,-2.332024766,A019
404,alma/f869,-43.64407228,-652.7424613,-2.322696805,A022
405,alma/f869,-59.4042934,-667.5717395,-2.130365568,A023
406,alma/f869,-74.47461587,-684.6574595,-2.129342649,A024
407,alma/f869,-84.5230042,-704.8937799,-1.937681767,A025
408,alma/f869,-86.87286754,-732.2620426,-1.928810218,A026
409,alma/f869,-93.14292454,-745.9594809,-1.941492838,A027
410,alma/f869,-57.04992893,-645.4388456,-2.129055948,A028
411,alma/f869,-68.48107366,-698.470785,-2.334779889,A030
412,alma/f869,-95.8997254,-694.8901111,-1.927739915,A031
413,alma/f869,-105.4387377,-755.003357,-1.640752815,A033
414,alma/f869,-76.90232093,-718.1727584,-1.929073338,A034
415,alma/f869,-26.04186157,-726.1888088,-2.332575051,A035
416,alma/f869,-15.39951252,-746.3592279,-2.331879161,A036
417,alma/f869,-80.49715673,-765.1118313,-1.942599619,A038
418,alma/f869,-64.18907113,-771.1494896,-1.940145207,A039
419,alma/f869,-42.33954858,-777.8607093,-2.339781511,A040
420,alma/f869,-23.09339256,-778.6079363,-2.340774491,A041
421,alma/f869,2.382622676,-763.2855572,-2.838872989,A042
422,alma/f869,17.1053716,-766.5338029,-2.842286715,A043
423,alma/f869,-80.06703001,-780.3740238,-1.336451415,A044
424,alma/f869,-63.50521219,-786.8199568,-1.341060659,A045
425,alma/f869,-36.66707354,-762.1662821,-2.339843364,A046
426,alma/f869,-19.65399721,-794.5952314,-2.338743316,A047
427,alma/f869,-1.523355241,-788.9452581,-2.8370088,A048
428,alma/f869,30.35174917,-773.9188068,-3.336231664,A049
429,alma/f869,-15.04639784,-764.3348031,-2.335016467,A050
