0,xi,eta
699,-0.014019,-0.013382
700,-0.013869,-0.014474
701,-0.013692,-0.01505
702,-0.013878,-0.016111
703,-0.011764,0.002075
704,-0.01195,0.001017
705,-0.012136,-4.2e-05
706,-0.012377,-0.00065
707,-0.012695,-0.001676
708,-0.012914,-0.002844
709,-0.013122,-0.004075
710,-0.013069,-0.005336
711,-0.013539,-0.006345
712,-0.013765,-0.007507
713,-0.013855,-0.008607
714,-0.013817,-0.009572
715,-0.014324,-0.010911
716,-0.014192,-0.011689
717,-0.014845,-0.013244
718,-0.014915,-0.014255
719,-0.01475,-0.014864
720,-0.014936,-0.015922
721,-0.012822,0.002261
722,-0.013008,0.001203
723,-0.013197,0.000144
724,-0.01352,-0.000408
725,-0.013683,-0.001513
726,-0.014003,-0.002651
727,-0.014042,-0.003833
728,-0.014131,-0.00515
729,-0.01457,-0.006143
730,-0.014879,-0.007225
731,-0.015021,-0.008312
732,-0.015035,-0.00954
733,-0.015305,-0.010703
734,-0.01525,-0.011503
735,-0.015626,-0.013085
736,-0.016169,-0.014004
737,-0.015808,-0.014678
738,-0.015997,-0.015736
739,-0.013881,0.002447
740,-0.014067,0.001389
741,-0.01414,0.000759
742,-0.014268,-0.000177
743,-0.014496,-0.00136
744,-0.014811,-0.00253
745,-0.015002,-0.003637
746,-0.015189,-0.004964
747,-0.015378,-0.005985
748,-0.015575,-0.007056
749,-0.015819,-0.008177
750,-0.016036,-0.009343
751,-0.016201,-0.010471
752,-0.016308,-0.011314
753,-0.016682,-0.012861
754,-0.016882,-0.013866
755,-0.017013,-0.014956
756,-0.017056,-0.01555
757,-0.015612,0.003636
758,-0.015128,0.001575
759,-0.015314,0.000517
760,-0.016338,0.000211
761,-0.016528,-0.000901
762,-0.016773,-0.002037
763,-0.017028,-0.003142
764,-0.016247,-0.004775
765,-0.017342,-0.005539
766,-0.017592,-0.006667
767,-0.017815,-0.007737
768,-0.018031,-0.008871
769,-0.018253,-0.009992
770,-0.017367,-0.011128
771,-0.018663,-0.012429
772,-0.018925,-0.013413
773,-0.0191,-0.014543
774,-0.018114,-0.015364
775,-0.015997,0.002822
776,-0.016186,0.001761
777,-0.016372,0.000703
778,-0.016558,-0.000356
779,-0.016744,-0.001414
780,-0.017033,-0.00201
781,-0.017318,-0.00309
782,-0.017306,-0.004589
783,-0.017695,-0.005458
784,-0.017799,-0.006619
785,-0.018094,-0.00769
786,-0.018475,-0.008769
787,-0.018548,-0.00995
788,-0.018425,-0.010942
789,-0.019052,-0.012346
790,-0.018999,-0.013401
791,-0.019107,-0.014544
792,-0.019172,-0.015175
793,-0.017058,0.003008
794,-0.017244,0.00195
795,-0.017148,0.001486
796,-0.017617,-0.000169
797,-0.017803,-0.001228
798,-0.017992,-0.002286
799,-0.018123,-0.00293
800,-0.018364,-0.004403
801,-0.018654,-0.005242
802,-0.018783,-0.006453
803,-0.019041,-0.007533
804,-0.019276,-0.00861
805,-0.019611,-0.009747
806,-0.019483,-0.010756
807,-0.020049,-0.012133
808,-0.020904,-0.013093
809,-0.020044,-0.013931
810,-0.020231,-0.014989
811,-0.018117,0.003194
812,-0.018303,0.002136
813,-0.018489,0.001078
814,-0.018675,1.9e-05
815,-0.018864,-0.001042
816,-0.018853,-0.001633
817,-0.019236,-0.003158
818,-0.019422,-0.004217
819,-0.019594,-0.00503
820,-0.019899,-0.006244
821,-0.020051,-0.007327
822,-0.020286,-0.008443
823,-0.0205,-0.009533
824,-0.020542,-0.010569
825,-0.020854,-0.011955
826,-0.021091,-0.013035
827,-0.021103,-0.013744
828,-0.021289,-0.014803
829,-0.019175,0.003381
830,-0.019361,0.002322
831,-0.019547,0.001264
832,-0.019517,0.000891
833,-0.019764,-0.000208
834,-0.020884,-0.001156
835,-0.020294,-0.002972
836,-0.020481,-0.004031
837,-0.020652,-0.004799
838,-0.020852,-0.006001
839,-0.021068,-0.00707
840,-0.021344,-0.008173
841,-0.021465,-0.009324
842,-0.0216,-0.010381
843,-0.021962,-0.011603
844,-0.022274,-0.012736
845,-0.022161,-0.013558
846,-0.022347,-0.014617
847,-0.019863,0.004543
848,-0.020419,0.002508
849,-0.020606,0.00145
850,-0.020477,0.001094
851,-0.020691,0.0
852,-0.020898,-0.001133
853,-0.021353,-0.002783
854,-0.021539,-0.003842
855,-0.021728,-0.004903
856,-0.021784,-0.005765
857,-0.0221,-0.007019
858,-0.022286,-0.008078
859,-0.022414,-0.009109
860,-0.022661,-0.010194
861,-0.022847,-0.011253
862,-0.023033,-0.012311
863,-0.023275,-0.01364
864,-0.023406,-0.014431
865,-0.0244,0.005656
866,-0.024747,0.00464
867,-0.024901,0.003426
868,-0.025068,0.002255
869,-0.025311,0.001113
870,-0.025539,-3.8e-05
871,-0.025711,-0.001154
872,-0.026203,-0.002226
873,-0.026001,-0.003463
874,-0.026329,-0.004623
875,-0.026415,-0.005776
876,-0.026657,-0.006862
877,-0.026907,-0.007971
878,-0.027583,-0.009034
879,-0.027191,-0.010252
880,-0.027665,-0.011226
881,-0.027978,-0.0125
882,-0.027761,-0.013661
883,-0.025432,0.005871
884,-0.025557,0.004783
885,-0.025754,0.003576
886,-0.026144,0.00245
887,-0.026177,0.001264
888,-0.026425,0.000141
889,-0.026488,-0.000988
890,-0.027323,-0.001964
891,-0.027033,-0.003238
892,-0.027265,-0.004433
893,-0.027519,-0.005563
894,-0.027694,-0.006638
895,-0.027874,-0.007771
896,-0.028037,-0.008943
897,-0.028258,-0.010039
898,-0.028571,-0.01104
899,-0.02888,-0.01228
900,-0.028819,-0.013475
901,-0.026277,0.006022
902,-0.026553,0.004935
903,-0.02673,0.003731
904,-0.02685,0.002582
905,-0.027072,0.001427
906,-0.027215,0.000324
907,-0.027464,-0.000813
908,-0.028011,-0.002703
909,-0.027919,-0.003022
910,-0.028149,-0.00423
911,-0.028405,-0.005367
912,-0.028569,-0.006458
913,-0.028899,-0.007544
914,-0.029101,-0.008717
915,-0.029333,-0.009786
916,-0.029336,-0.010918
917,-0.029931,-0.012017
918,-0.029878,-0.013289
919,-0.027475,0.00623
920,-0.02757,0.005124
921,-0.02772,0.003913
922,-0.027947,0.002766
923,-0.028124,0.001662
924,-0.028312,0.000552
925,-0.028497,-0.000614
926,-0.029069,-0.002517
927,-0.02896,-0.002809
928,-0.029216,-0.003983
929,-0.029461,-0.005117
930,-0.02968,-0.006245
931,-0.029837,-0.007362
932,-0.030137,-0.008504
933,-0.030449,-0.009568
934,-0.030666,-0.010674
935,-0.031253,-0.011812
936,-0.030936,-0.013103
937,-0.028469,0.00641
938,-0.028616,0.00535
939,-0.028801,0.004152
940,-0.02893,0.002964
941,-0.029124,0.001886
942,-0.029402,0.000789
943,-0.029587,-0.000403
944,-0.030394,-0.001553
945,-0.030005,-0.002613
946,-0.030244,-0.003802
947,-0.030459,-0.00491
948,-0.030857,-0.006025
949,-0.030995,-0.007124
950,-0.031248,-0.008308
951,-0.03123,-0.009441
952,-0.031936,-0.010462
953,-0.031613,-0.011786
954,-0.031994,-0.012917
955,-0.029514,0.006608
956,-0.029711,0.005555
957,-0.029911,0.004407
958,-0.030181,0.003263
959,-0.030259,0.002093
960,-0.030391,0.000979
961,-0.030608,-0.000189
962,-0.031308,-0.001454
963,-0.031042,-0.00243
964,-0.031284,-0.003616
965,-0.031463,-0.004687
966,-0.031797,-0.005866
967,-0.032046,-0.006919
968,-0.03232,-0.008094
969,-0.03247,-0.009255
970,-0.032791,-0.010299
971,-0.032867,-0.011669
972,-0.033053,-0.012728
973,-0.030586,0.006796
974,-0.030666,0.005749
975,-0.030851,0.004576
976,-0.031148,0.003456
977,-0.031244,0.002316
978,-0.031575,0.001226
979,-0.031596,-8e-06
980,-0.032236,-0.00122
981,-0.032106,-0.002201
982,-0.032313,-0.003437
983,-0.032643,-0.004492
984,-0.03275,-0.005713
985,-0.033082,-0.006726
986,-0.033169,-0.007917
987,-0.033665,-0.008999
988,-0.033486,-0.010171
989,-0.033925,-0.011483
990,-0.034111,-0.012542
991,-0.031587,0.006965
992,-0.031746,0.005979
993,-0.031926,0.004781
994,-0.032098,0.003628
995,-0.032413,0.00255
996,-0.03251,0.001386
997,-0.03284,0.000239
998,-0.033303,-0.001769
999,-0.033081,-0.002007
1000,-0.033347,-0.003254
1001,-0.033577,-0.004324
1002,-0.03373,-0.005503
1003,-0.033915,-0.006563
1004,-0.034304,-0.007707
1005,-0.034446,-0.008829
1006,-0.034692,-0.009935
1007,-0.034983,-0.011297
1008,-0.035169,-0.012356
1009,-0.032617,0.007198
1010,-0.032763,0.006153
1011,-0.033002,0.005044
1012,-0.033099,0.003848
1013,-0.033299,0.002707
1014,-0.03355,0.00161
1015,-0.033708,0.00044
1016,-0.034364,-0.001583
1017,-0.034134,-0.001807
1018,-0.034359,-0.003085
1019,-0.034561,-0.004171
1020,-0.034735,-0.005293
1021,-0.034964,-0.006396
1022,-0.035342,-0.007506
1023,-0.035458,-0.008607
1024,-0.035693,-0.009725
1025,-0.036042,-0.011111
1026,-0.036231,-0.012169
1027,-0.033648,0.007456
1028,-0.033814,0.006359
1029,-0.034041,0.00528
1030,-0.034139,0.004124
1031,-0.034387,0.002948
1032,-0.034575,0.001798
1033,-0.034851,0.000668
1034,-0.035404,-0.000668
1035,-0.035172,-0.00161
1036,-0.035454,-0.002877
1037,-0.035628,-0.003986
1038,-0.03583,-0.005085
1039,-0.036269,-0.006154
